model_id,endpoint,quota_type,quota_code,quota_name
amazon.nova-lite-v1:0,base,rpm,L-E386A278,On-demand model inference requests per minute for Amazon Nova Lite
amazon.nova-lite-v1:0,base,tpm,L-70423BF8,On-demand model inference tokens per minute for Amazon Nova Lite
amazon.nova-lite-v1:0,eu,rpm,L-89F8391A,Cross-region model inference requests per minute for Amazon Nova Lite
amazon.nova-lite-v1:0,eu,tpd,L-45E0AD92,Model invocation max tokens per day for Amazon Nova Lite (doubled for cross-region calls)
amazon.nova-lite-v1:0,eu,tpm,L-7C42E72A,Cross-region model inference tokens per minute for Amazon Nova Lite
amazon.rerank-v1:0,base,rpm,L-AAB0080F,On-demand model inference requests per minute for Amazon Rerank 1.0
amazon.titan-embed-image-v1,base,rpm,L-DF0E34D4,On-demand model inference requests per minute for Amazon Titan Multimodal Embeddings G1
amazon.titan-embed-image-v1,base,tpm,L-ABC24664,On-demand model inference tokens per minute for Amazon Titan Multimodal Embeddings G1
amazon.titan-embed-text-v2:0,base,rpm,L-26C560CE,On-demand model inference requests per minute for Amazon Titan Text Embeddings V2
amazon.titan-embed-text-v2:0,base,tpm,L-DE641971,On-demand model inference tokens per minute for Amazon Titan Text Embeddings V2
anthropic.claude-3-haiku-20240307-v1:0,base,rpm,L-2DC80978,On-demand model inference requests per minute for Anthropic Claude 3 Haiku
anthropic.claude-3-haiku-20240307-v1:0,base,tpm,L-8CE99163,On-demand model inference tokens per minute for Anthropic Claude 3 Haiku
anthropic.claude-3-haiku-20240307-v1:0,us,rpm,L-616A3F5B,Cross-region model inference requests per minute for Anthropic Claude 3 Haiku
anthropic.claude-3-haiku-20240307-v1:0,us,tpd,L-A60EE1AF,Model invocation max tokens per day for Anthropic Claude 3 Haiku (doubled for cross-region calls)
anthropic.claude-3-haiku-20240307-v1:0,us,tpm,L-DCADBC78,Cross-region model inference tokens per minute for Anthropic Claude 3 Haiku
anthropic.claude-3-haiku-20240307-v1:0,apac,rpm,L-616A3F5B,Cross-region model inference requests per minute for Anthropic Claude 3 Haiku
anthropic.claude-3-haiku-20240307-v1:0,apac,tpd,L-A60EE1AF,Model invocation max tokens per day for Anthropic Claude 3 Haiku (doubled for cross-region calls)
anthropic.claude-3-haiku-20240307-v1:0,apac,tpm,L-DCADBC78,Cross-region model inference tokens per minute for Anthropic Claude 3 Haiku
anthropic.claude-3-haiku-20240307-v1:0,eu,rpm,L-616A3F5B,Cross-region model inference requests per minute for Anthropic Claude 3 Haiku
anthropic.claude-3-haiku-20240307-v1:0,eu,tpd,L-A60EE1AF,Model invocation max tokens per day for Anthropic Claude 3 Haiku (doubled for cross-region calls)
anthropic.claude-3-haiku-20240307-v1:0,eu,tpm,L-DCADBC78,Cross-region model inference tokens per minute for Anthropic Claude 3 Haiku
anthropic.claude-3-sonnet-20240229-v1:0,base,rpm,L-F406804E,On-demand model inference requests per minute for Anthropic Claude 3 Sonnet
anthropic.claude-3-sonnet-20240229-v1:0,base,tpm,L-4C35BB2A,On-demand model inference tokens per minute for Anthropic Claude 3 Sonnet
anthropic.claude-3-sonnet-20240229-v1:0,us,rpm,L-46591118,Cross-region model inference requests per minute for Anthropic Claude 3 Sonnet
anthropic.claude-3-sonnet-20240229-v1:0,us,tpm,L-5DF13F64,Cross-region model inference tokens per minute for Anthropic Claude 3 Sonnet
anthropic.claude-3-sonnet-20240229-v1:0,apac,rpm,L-46591118,Cross-region model inference requests per minute for Anthropic Claude 3 Sonnet
anthropic.claude-3-sonnet-20240229-v1:0,apac,tpm,L-5DF13F64,Cross-region model inference tokens per minute for Anthropic Claude 3 Sonnet
anthropic.claude-3-sonnet-20240229-v1:0,eu,rpm,L-46591118,Cross-region model inference requests per minute for Anthropic Claude 3 Sonnet
anthropic.claude-3-sonnet-20240229-v1:0,eu,tpm,L-5DF13F64,Cross-region model inference tokens per minute for Anthropic Claude 3 Sonnet
anthropic.claude-haiku-4-5-20251001-v1:0,global,rpm,L-E5084BBA,Global cross-region model inference requests per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,global,tpd,L-B5C049AE,Global cross-region model inference tokens per day for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,global,tpm,L-9A11C666,Global cross-region model inference tokens per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,us,rpm,L-CCA5DF70,Cross-region model inference requests per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,us,tpd,L-B5C049AE,Global cross-region model inference tokens per day for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,us,tpm,L-58BE175A,Cross-region model inference tokens per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,jp,rpm,L-CCA5DF70,Cross-region model inference requests per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,jp,tpd,L-B5C049AE,Global cross-region model inference tokens per day for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,jp,tpm,L-58BE175A,Cross-region model inference tokens per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,eu,rpm,L-CCA5DF70,Cross-region model inference requests per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,eu,tpd,L-B5C049AE,Global cross-region model inference tokens per day for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,eu,tpm,L-58BE175A,Cross-region model inference tokens per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,au,rpm,L-CCA5DF70,Cross-region model inference requests per minute for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,au,tpd,L-B5C049AE,Global cross-region model inference tokens per day for Anthropic Claude Haiku 4.5
anthropic.claude-haiku-4-5-20251001-v1:0,au,tpm,L-58BE175A,Cross-region model inference tokens per minute for Anthropic Claude Haiku 4.5
anthropic.claude-opus-4-5-20251101-v1:0,us,rpm,L-27989F42,Cross-region model inference requests per minute for Anthropic Claude Opus 4.5
anthropic.claude-opus-4-5-20251101-v1:0,us,tpd,L-F397ECBF,Model invocation max tokens per day for Anthropic Claude Opus 4.5 (doubled for cross-region calls)
anthropic.claude-opus-4-5-20251101-v1:0,us,tpm,L-7007E9C9,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.5
anthropic.claude-opus-4-5-20251101-v1:0,eu,rpm,L-27989F42,Cross-region model inference requests per minute for Anthropic Claude Opus 4.5
anthropic.claude-opus-4-5-20251101-v1:0,eu,tpd,L-F397ECBF,Model invocation max tokens per day for Anthropic Claude Opus 4.5 (doubled for cross-region calls)
anthropic.claude-opus-4-5-20251101-v1:0,eu,tpm,L-7007E9C9,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.5
anthropic.claude-opus-4-6-v1,global,rpm,L-3DD46812,Global cross-region model inference requests per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,global,tpd,L-ED2BADF9,Global cross-region model inference tokens per day for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,global,tpm,L-3DCCFAA4,Global cross-region model inference tokens per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,us,rpm,L-11DFF789,Cross-region model inference requests per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,us,tpd,L-82CD9B28,Model invocation max tokens per day for Anthropic Claude Opus 4.6 V1 (doubled for cross-region calls)
anthropic.claude-opus-4-6-v1,us,tpm,L-0AD9BBE8,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,base,rpm,L-0491E43A,On-demand model inference requests per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,base,tpm,L-98944717,On-demand model inference tokens per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,eu,rpm,L-11DFF789,Cross-region model inference requests per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,eu,tpd,L-82CD9B28,Model invocation max tokens per day for Anthropic Claude Opus 4.6 V1 (doubled for cross-region calls)
anthropic.claude-opus-4-6-v1,eu,tpm,L-0AD9BBE8,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,au,rpm,L-11DFF789,Cross-region model inference requests per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-6-v1,au,tpd,L-82CD9B28,Model invocation max tokens per day for Anthropic Claude Opus 4.6 V1 (doubled for cross-region calls)
anthropic.claude-opus-4-6-v1,au,tpm,L-0AD9BBE8,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.6 V1
anthropic.claude-opus-4-7,global,tpm,L-34152C1D,Global cross-region model inference tokens per minute for Anthropic Claude Opus 4.7
anthropic.claude-opus-4-7,us,tpm,L-5DB28B7B,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.7
anthropic.claude-opus-4-7,jp,tpm,L-5DB28B7B,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.7
anthropic.claude-opus-4-7,eu,tpm,L-5DB28B7B,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.7
anthropic.claude-sonnet-4-6,global,rpm,L-F6E116D7,Global cross-region model inference requests per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,global,tpd,L-248E47B7,Global cross-region model inference tokens per day for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,global,tpm,L-7BEE40FB,Global cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,us,rpm,L-00FF3314,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,us,tpd,L-248E47B7,Global cross-region model inference tokens per day for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,us,tpm,L-15B8E632,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,jp,rpm,L-00FF3314,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,jp,tpd,L-248E47B7,Global cross-region model inference tokens per day for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,jp,tpm,L-15B8E632,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,base,rpm,L-9B878FAE,On-demand model inference requests per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,base,tpm,L-5F5A169C,On-demand model inference tokens per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,eu,rpm,L-00FF3314,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,eu,tpd,L-248E47B7,Global cross-region model inference tokens per day for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,eu,tpm,L-15B8E632,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,au,rpm,L-00FF3314,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,au,tpd,L-248E47B7,Global cross-region model inference tokens per day for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-6,au,tpm,L-15B8E632,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.6
cohere.embed-english-v3,base,rpm,L-FF8E7864,On-demand model inference requests per minute for Cohere Embed English
cohere.embed-english-v3,base,tpm,L-A2BE277A,On-demand model inference tokens per minute for Cohere Embed English
cohere.embed-v4:0,global,rpm,L-7089DC7D,Global cross-region model inference requests per minute for Cohere Embed V4
cohere.embed-v4:0,global,tpd,L-795ADAB0,Global cross-region model inference tokens per day for Cohere Embed V4
cohere.embed-v4:0,global,tpm,L-02DFBB76,Global cross-region model inference tokens per minute for Cohere Embed V4
cohere.embed-v4:0,us,rpm,L-EB8C1F30,Cross-region model inference requests per minute for Cohere Embed V4
cohere.embed-v4:0,us,tpd,L-795ADAB0,Global cross-region model inference tokens per day for Cohere Embed V4
cohere.embed-v4:0,us,tpm,L-4C3F0FE6,Cross-region model inference tokens per minute for Cohere Embed V4
cohere.embed-v4:0,base,rpm,L-BE5FD99B,On-demand model inference requests per minute for Cohere Embed V4
cohere.embed-v4:0,base,tpm,L-C47B85D5,On-demand model inference tokens per minute for Cohere Embed V4
cohere.embed-v4:0,eu,rpm,L-EB8C1F30,Cross-region model inference requests per minute for Cohere Embed V4
cohere.embed-v4:0,eu,tpd,L-795ADAB0,Global cross-region model inference tokens per day for Cohere Embed V4
cohere.embed-v4:0,eu,tpm,L-4C3F0FE6,Cross-region model inference tokens per minute for Cohere Embed V4
cohere.rerank-v3-5:0,base,rpm,L-11512E58,On-demand model inference requests per minute for Cohere Rerank 3.5
meta.llama3-70b-instruct-v1:0,base,rpm,L-46D383AF,On-demand model inference requests per minute for Meta Llama 3 70B Instruct
meta.llama3-70b-instruct-v1:0,base,tpm,L-609E24B0,On-demand model inference tokens per minute for Meta Llama 3 70B Instruct
meta.llama3-8b-instruct-v1:0,base,rpm,L-320BEFEB,On-demand model inference requests per minute for Meta Llama 3 8B Instruct
meta.llama3-8b-instruct-v1:0,base,tpm,L-03A9B835,On-demand model inference tokens per minute for Meta Llama 3 8B Instruct
mistral.mistral-7b-instruct-v0:2,base,rpm,L-D9A35062,On-demand model inference requests per minute for Mistral 7B Instruct
mistral.mistral-7b-instruct-v0:2,base,tpm,L-02D831F1,On-demand model inference tokens per minute for Mistral AI Mistral 7B Instruct
mistral.mistral-large-2402-v1:0,base,rpm,L-3AF844DB,On-demand model inference requests per minute for Mistral Large
mistral.mistral-large-2402-v1:0,base,tpm,L-01447289,On-demand model inference tokens per minute for Mistral AI Mistral Large
mistral.mixtral-8x7b-instruct-v0:1,base,rpm,L-FD938632,On-demand model inference requests per minute for Mistral Mixtral 8x7b Instruct
mistral.mixtral-8x7b-instruct-v0:1,base,tpm,L-490F4D1F,On-demand model inference tokens per minute for Mistral AI Mixtral 8X7BB Instruct
amazon.nova-2-sonic-v1:0,base,concurrent,L-995EBD81,On-demand InvokeModel concurrent requests for Amazon Nova 2 Sonic
amazon.nova-micro-v1:0,us,rpm,L-3F110E0F,Cross-region model inference requests per minute for Amazon Nova Micro
amazon.nova-micro-v1:0,us,tpd,L-D2912E70,Model invocation max tokens per day for Amazon Nova Micro (doubled for cross-region calls)
amazon.nova-micro-v1:0,us,tpm,L-DC7FF66C,Cross-region model inference tokens per minute for Amazon Nova Micro
amazon.nova-micro-v1:0,apac,rpm,L-3F110E0F,Cross-region model inference requests per minute for Amazon Nova Micro
amazon.nova-micro-v1:0,apac,tpm,L-DC7FF66C,Cross-region model inference tokens per minute for Amazon Nova Micro
amazon.nova-micro-v1:0,base,rpm,L-E118F160,On-demand model inference requests per minute for Amazon Nova Micro
amazon.nova-micro-v1:0,base,tpm,L-CFA4FA0D,On-demand model inference tokens per minute for Amazon Nova Micro
amazon.nova-micro-v1:0,eu,rpm,L-3F110E0F,Cross-region model inference requests per minute for Amazon Nova Micro
amazon.nova-micro-v1:0,eu,tpd,L-D2912E70,Model invocation max tokens per day for Amazon Nova Micro (doubled for cross-region calls)
amazon.nova-micro-v1:0,eu,tpm,L-DC7FF66C,Cross-region model inference tokens per minute for Amazon Nova Micro
amazon.nova-premier-v1:0,us,rpm,L-9AD981E7,Cross-region model inference requests per minute for Amazon Nova Premier V1
amazon.nova-premier-v1:0,us,tpd,L-B1D7F4B9,Model invocation max tokens per day for Amazon Nova Premier V1 (doubled for cross-region calls)
amazon.nova-premier-v1:0,us,tpm,L-AA7FE948,Cross-region model inference tokens per minute for Amazon Nova Premier V1
amazon.nova-pro-v1:0,us,rpm,L-ED46B8C5,Cross-region model inference requests per minute for Amazon Nova Pro
amazon.nova-pro-v1:0,us,tpd,L-D690997B,Model invocation max tokens per day for Amazon Nova Pro (doubled for cross-region calls)
amazon.nova-pro-v1:0,us,tpm,L-C0326783,Cross-region model inference tokens per minute for Amazon Nova Pro
amazon.nova-pro-v1:0,apac,rpm,L-ED46B8C5,Cross-region model inference requests per minute for Amazon Nova Pro
amazon.nova-pro-v1:0,apac,tpm,L-C0326783,Cross-region model inference tokens per minute for Amazon Nova Pro
amazon.nova-pro-v1:0,base,rpm,L-F2717A44,On-demand model inference requests per minute for Amazon Nova Pro
amazon.nova-pro-v1:0,base,tpm,L-CE33604C,On-demand model inference tokens per minute for Amazon Nova Pro
amazon.nova-pro-v1:0,eu,rpm,L-ED46B8C5,Cross-region model inference requests per minute for Amazon Nova Pro
amazon.nova-pro-v1:0,eu,tpd,L-D690997B,Model invocation max tokens per day for Amazon Nova Pro (doubled for cross-region calls)
amazon.nova-pro-v1:0,eu,tpm,L-C0326783,Cross-region model inference tokens per minute for Amazon Nova Pro
amazon.titan-embed-g1-text-02,base,rpm,L-879F6850,On-demand model inference requests per minute for Amazon Titan Text Embeddings
amazon.titan-embed-g1-text-02,base,tpm,L-74B5B793,On-demand model inference tokens per minute for Amazon Titan Text Embeddings
amazon.titan-embed-text-v1,base,rpm,L-879F6850,On-demand model inference requests per minute for Amazon Titan Text Embeddings
amazon.titan-embed-text-v1,base,tpm,L-74B5B793,On-demand model inference tokens per minute for Amazon Titan Text Embeddings
amazon.titan-image-generator-v2:0,base,rpm,L-D6269ADB,On-demand model inference requests per minute for Amazon Titan Image Generator G1 V2
amazon.titan-image-generator-v2:0,base,tpm,L-F1AFB3C9,On-demand model inference tokens per minute for Amazon Titan Image Generator G1 V2
amazon.titan-tg1-large,base,rpm,L-7DBB06FD,On-demand model inference requests per minute for Amazon Titan Image Generator G1
amazon.titan-tg1-large,base,tpm,L-2B715ABD,On-demand model inference tokens per minute for Amazon Titan Image Generator G1
anthropic.claude-3-5-haiku-20241022-v1:0,base,rpm,L-C7438F8F,On-demand model inference requests per minute for Anthropic Claude 3.5 Haiku
anthropic.claude-3-5-haiku-20241022-v1:0,base,tpm,L-7AB4ABDD,On-demand model inference tokens per minute for Anthropic Claude 3.5 Haiku
anthropic.claude-3-5-haiku-20241022-v1:0,us,rpm,L-CCA5DF70,Cross-region model inference requests per minute for Anthropic Claude Haiku 4.5
anthropic.claude-3-5-haiku-20241022-v1:0,us,tpd,L-6120CF2D,Model invocation max tokens per day for Anthropic Claude Haiku 4.5 (doubled for cross-region calls)
anthropic.claude-3-5-haiku-20241022-v1:0,us,tpm,L-58BE175A,Cross-region model inference tokens per minute for Anthropic Claude Haiku 4.5
anthropic.claude-3-7-sonnet-20250219-v1:0,us,rpm,L-3D8CC480,Cross-region model inference requests per minute for Anthropic Claude 3.7 Sonnet V1
anthropic.claude-3-7-sonnet-20250219-v1:0,us,tpd,L-9EB71894,Model invocation max tokens per day for Anthropic Claude 3.7 Sonnet V1 (doubled for cross-region calls)
anthropic.claude-3-7-sonnet-20250219-v1:0,us,tpm,L-6E888CC2,Cross-region model inference tokens per minute for Anthropic Claude 3.7 Sonnet V1
anthropic.claude-3-7-sonnet-20250219-v1:0,apac,rpm,L-3D8CC480,Cross-region model inference requests per minute for Anthropic Claude 3.7 Sonnet V1
anthropic.claude-3-7-sonnet-20250219-v1:0,apac,tpd,L-9EB71894,Model invocation max tokens per day for Anthropic Claude 3.7 Sonnet V1 (doubled for cross-region calls)
anthropic.claude-3-7-sonnet-20250219-v1:0,apac,tpm,L-6E888CC2,Cross-region model inference tokens per minute for Anthropic Claude 3.7 Sonnet V1
anthropic.claude-3-7-sonnet-20250219-v1:0,base,rpm,L-0651A8FB,On-demand model inference requests per minute for Anthropic Claude 3.7 Sonnet V1
anthropic.claude-3-7-sonnet-20250219-v1:0,base,tpm,L-8F2EEEA3,On-demand model inference tokens per minute for Anthropic Claude 3.7 Sonnet V1
anthropic.claude-3-7-sonnet-20250219-v1:0,eu,rpm,L-3D8CC480,Cross-region model inference requests per minute for Anthropic Claude 3.7 Sonnet V1
anthropic.claude-3-7-sonnet-20250219-v1:0,eu,tpd,L-9EB71894,Model invocation max tokens per day for Anthropic Claude 3.7 Sonnet V1 (doubled for cross-region calls)
anthropic.claude-3-7-sonnet-20250219-v1:0,eu,tpm,L-6E888CC2,Cross-region model inference tokens per minute for Anthropic Claude 3.7 Sonnet V1
anthropic.claude-opus-4-1-20250805-v1:0,us,rpm,L-7EC72A47,Cross-region model inference requests per minute for Anthropic Claude Opus 4.1
anthropic.claude-opus-4-1-20250805-v1:0,us,tpd,L-AB98959C,Model invocation max tokens per day for Anthropic Claude Opus 4.1 (doubled for cross-region calls)
anthropic.claude-opus-4-1-20250805-v1:0,us,tpm,L-BD85BFCD,Cross-region model inference tokens per minute for Anthropic Claude Opus 4.1
anthropic.claude-opus-4-20250514-v1:0,us,rpm,L-C99C7EF6,Cross-region model inference requests per minute for Anthropic Claude Opus 4 V1
anthropic.claude-opus-4-20250514-v1:0,us,tpd,L-28155387,Model invocation max tokens per day for Anthropic Claude Opus 4 V1 (doubled for cross-region calls)
anthropic.claude-opus-4-20250514-v1:0,us,tpm,L-29C2B0A3,Cross-region model inference tokens per minute for Anthropic Claude Opus 4 V1
anthropic.claude-sonnet-4-20250514-v1:0,global,rpm,L-F6E116D7,Global cross-region model inference requests per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-20250514-v1:0,global,tpd,L-248E47B7,Global cross-region model inference tokens per day for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-20250514-v1:0,global,tpm,L-7BEE40FB,Global cross-region model inference tokens per minute for Anthropic Claude Sonnet 4.6
anthropic.claude-sonnet-4-20250514-v1:0,apac,rpm,L-559DCC33,Cross-region model inference requests per minute for Anthropic Claude Sonnet 4 V1
anthropic.claude-sonnet-4-20250514-v1:0,apac,tpd,L-22F701C5,Model invocation max tokens per day for Anthropic Claude Sonnet 4 V1 (doubled for cross-region calls)
anthropic.claude-sonnet-4-20250514-v1:0,apac,tpm,L-59759B4A,Cross-region model inference tokens per minute for Anthropic Claude Sonnet 4 V1
cohere.command-r-plus-v1:0,base,rpm,L-ADB4B3D7,On-demand model inference requests per minute for Cohere Command R Plus
